Tokenizer name,HF Name,inherits from,diff from parent,Tokenization Method,Implementation,Reported Vocab Size,Vocab Size,Learnable Vocab Size,Special Characters,Byte-fallback,OOV Handling,Languages,Multi-lingual,Pretokenization Splits,Numbers,Contractions,Leading Token Is,Unicode Normalization,Continuation,Script Coverage,Whitespace Treatment,Zerowidth chars,Turkish special chars,Accents/Diacriticts,Release Date
google-byt5-small,google/byt5-small,,,Bytes,,,259,256,"</s>, <unk>, <pad>, ['<extra_id_0>', '<extra_id_1>', '<extra_id_2>', '<extra_id_3>', '<extra_id_4>', '<extra_id_5>', '<extra_id_6>', '<extra_id_7>', '<extra_id_8>', '<extra_id_9>', '<extra_id_10>', '<extra_id_11>', '<extra_id_12>', '<extra_id_13>', '<extra_id_14>', '<extra_id_15>', '<extra_id_16>', '<extra_id_17>', '<extra_id_18>', '<extra_id_19>', '<extra_id_20>', '<extra_id_21>', '<extra_id_22>', '<extra_id_23>', '<extra_id_24>', '<extra_id_25>', '<extra_id_26>', '<extra_id_27>', '<extra_id_28>', '<extra_id_29>', '<extra_id_30>', '<extra_id_31>', '<extra_id_32>', '<extra_id_33>', '<extra_id_34>', '<extra_id_35>', '<extra_id_36>', '<extra_id_37>', '<extra_id_38>', '<extra_id_39>', '<extra_id_40>', '<extra_id_41>', '<extra_id_42>', '<extra_id_43>', '<extra_id_44>', '<extra_id_45>', '<extra_id_46>', '<extra_id_47>', '<extra_id_48>', '<extra_id_49>', '<extra_id_50>', '<extra_id_51>', '<extra_id_52>', '<extra_id_53>', '<extra_id_54>', '<extra_id_55>', '<extra_id_56>', '<extra_id_57>', '<extra_id_58>', '<extra_id_59>', '<extra_id_60>', '<extra_id_61>', '<extra_id_62>', '<extra_id_63>', '<extra_id_64>', '<extra_id_65>', '<extra_id_66>', '<extra_id_67>', '<extra_id_68>', '<extra_id_69>', '<extra_id_70>', '<extra_id_71>', '<extra_id_72>', '<extra_id_73>', '<extra_id_74>', '<extra_id_75>', '<extra_id_76>', '<extra_id_77>', '<extra_id_78>', '<extra_id_79>', '<extra_id_80>', '<extra_id_81>', '<extra_id_82>', '<extra_id_83>', '<extra_id_84>', '<extra_id_85>', '<extra_id_86>', '<extra_id_87>', '<extra_id_88>', '<extra_id_89>', '<extra_id_90>', '<extra_id_91>', '<extra_id_92>', '<extra_id_93>', '<extra_id_94>', '<extra_id_95>', '<extra_id_96>', '<extra_id_97>', '<extra_id_98>', '<extra_id_99>', '<extra_id_100>', '<extra_id_101>', '<extra_id_102>', '<extra_id_103>', '<extra_id_104>', '<extra_id_105>', '<extra_id_106>', '<extra_id_107>', '<extra_id_108>', '<extra_id_109>', '<extra_id_110>', '<extra_id_111>', '<extra_id_112>', '<extra_id_113>', '<extra_id_114>', '<extra_id_115>', '<extra_id_116>', '<extra_id_117>', '<extra_id_118>', '<extra_id_119>', '<extra_id_120>', '<extra_id_121>', '<extra_id_122>', '<extra_id_123>', '<extra_id_124>']",,,,,N/A,N/A,N/A,N/A,None,,,Byte,preserved (3 bytes),"preserved, but chars are split into 2 bytes, e.g. ü",,
aya-expanse,CohereLabs/aya-expanse-8b,,,BPE,SentencePiece,255029,255029,254992,"<BOS_TOKEN>, <|END_OF_TURN_TOKEN|>, <PAD>",,,,,GPT-2,Split,GPT-2,Subsequence,NFC,,,Learned,preserved (new token),"preserved but byte-fallback, ğ",,
bigscience-bloom,bigscience/bloom,,,BPE,HF,250680,250680,250676,"<unk>, <s>, </s>, <pad>",yes,,,,"Space, Punct (sentence)",Learned,Learned,Subsequence,None,,,Learned,preserved (new token),"preserved but byte-fallback, Ş ğ",,
common-pile-comma-v0.1,common-pile/comma-v0.1-1t,,,BPE,HF,64000,64000,63996,"<pad>, <unk>, <|begin_of_text|>, <|end_of_text|>",,,,,GPT-4,Group by 3,GPT-4,Subsequence,None,,,Learned,preserved (new token),"preserved but byte-fallback, İ Ü Ç Ş ğ",,
google-bert-bert-base-multilingual-cased,google-bert/bert-base-multilingual-cased,,,WordPiece,SentencePiece,"110,000",119547,119542,"[UNK], [SEP], [PAD], [CLS], [MASK]",,[UNK],,,"Space, Punct/Control",Learned,Composed,Start,None,##,,Normalized,Normalized/removed,"preserved, but sometimes UNK, e.g. caǧnım",,
google-gemma-2-2b,google/gemma-2-2b,,,Unigram,SentencePiece,256128,256000,255751,"<bos>, <eos>, <unk>, <pad>, ['<start_of_turn>', '<end_of_turn>']",yes,,,,"Split on white space, merge with previous, replace whitespace with ▁",Split,Learned,Subsequence,None,,,Manual,preserved (new token),preserved,,
gpt2,tiktoken/gpt2,,,BPE,TikToken,,50257,50256,<|endoftext|>,yes,,,,"space, transition from letter -> punc/numbers, punc/numbers -> letters",Group,English,Subsequence,None,,,Individual,preserved (new token),preserved,,
meta-llama-Llama-3.2-1B,meta-llama/Llama-3.2-1B,,,BPE,TikToken,,128256,128000,"<|begin_of_text|>, <|end_of_text|>",,,,,"space, transition from letter -> punc/3 numbers, (GPT-4 regex)",Group by 3,GPT-4,Subsequence,None,,,Learned,preserved (new token),preserved,,
microsoft-Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,,,BPE,SentencePiece,32064,32011,31997,"<s>, <|endoftext|>, <unk>, <|endoftext|>",yes,,,,None,Split,Learned,Start,None,,,Manual,preserved (new token),preserved,é ï -> decomposed,
mistralai-tekken,mistralai/tekken,,,BPE,TikToken,130k,131072,130044,"1k control tokens 
14 control tokens?? I am confused
<unk>
<s>
</s>
[INST]
[/INST]
[AVAILABLE_TOOLS]
[/AVAILABLE_TOOLS]
[TOOL_RESULTS]
[/TOOL_RESULTS]
[TOOL_CALLS]
<pad>
[PREFIX]
[MIDDLE]
[SUFFIX]",,,,,"space, transition from letter -> punc/numbers, punc -> letters/numbers",Split,"Becomes single token based on regex with ', but if not perceded by a word become two tokens, basically the same as gpt-4 but without the special case contractions",Subsequence,None,,,Learned,preserved (new token),preserved but byte-fallback for ǧ,,
